state,crop,avg_yield_t_ha,median_yield_t_ha,total_production_t,records,avg_grade_score,state_rank
Abia,cassava,10.411649484536081,10.44,6418586.8,485,2.1175257731958763,1.0
Abia,yam,12.019012605042017,11.915,6004631.4,476,2.0903361344537816,2.0
Abia,oil_palm,3.90178021978022,3.87,2390091.5,455,2.0923076923076924,3.0
Abia,rice,3.017071129707113,3.06,1957458.4,478,2.1150627615062763,4.0
Abia,maize,2.3238651685393257,2.29,1364665.6,445,2.056179775280899,5.0
Abia,sorghum,1.5052448979591837,1.5,870163.9,490,2.130612244897959,6.0
Abia,millet,1.3118471337579618,1.31,774135.6,471,2.08067940552017,7.0
Abia,cocoa,0.4324453280318092,0.44,248466.7,503,2.095427435387674,8.0
Adamawa,yam,8.632336244541484,8.614999999999998,4432013.1,458,2.091703056768559,1.0
Adamawa,cassava,7.191498881431767,7.14,4025522.1,447,2.1297539149888145,2.0
Adamawa,oil_palm,2.7128997867803837,2.7,1714312.9,469,2.1471215351812365,3.0
Adamawa,rice,2.1353260869565216,2.13,1320941.4000000001,460,2.1,4.0
Adamawa,maize,1.5648505747126438,1.53,802822.6,435,2.0827586206896553,5.0
Adamawa,millet,0.9186095238095238,0.92,535698.1,525,2.085714285714286,6.0
Adamawa,sorghum,1.0175259875259874,0.98,529419.9,481,2.0353430353430353,7.0
Adamawa,cocoa,0.3067857142857143,0.3,169260.0,476,2.088235294117647,8.0
Akwa Ibom,yam,12.145959780621572,12.15,7365732.100000001,547,2.0786106032906764,1.0
Akwa Ibom,cassava,10.325076923076923,10.3,5158662.7,455,2.085714285714286,2.0
Akwa Ibom,oil_palm,3.7943749999999996,3.81,1869519.3,448,2.140625,3.0
Akwa Ibom,rice,3.0645922746781116,3.06,1503719.8,466,2.109442060085837,4.0
Akwa Ibom,maize,2.324017857142857,2.29,1465831.7,448,2.0825892857142856,5.0
Akwa Ibom,sorghum,1.5111666666666668,1.52,827715.9,480,2.06875,6.0
Akwa Ibom,millet,1.3427352297592998,1.34,751967.0,457,2.1094091903719914,7.0
Akwa Ibom,cocoa,0.4336041666666667,0.43,256353.1,480,2.01875,8.0
Anambra,yam,12.096706586826347,11.93,7599462.7,501,2.099800399201597,1.0
Anambra,cassava,10.552950819672132,10.6,5838329.8,488,2.112704918032787,2.0
Anambra,oil_palm,3.883769063180828,3.92,2181342.7,459,2.128540305010893,3.0
Anambra,rice,3.1379176201372996,3.16,1841859.4,437,2.128146453089245,4.0
Anambra,maize,2.2287265135699372,2.21,1393738.9,479,2.093945720250522,5.0
Anambra,sorghum,1.526722338204593,1.52,810298.7,479,2.1231732776617953,6.0
Anambra,millet,1.3133932584269663,1.31,717964.7999999999,445,2.020224719101124,7.0
Anambra,cocoa,0.4422127659574468,0.45,215334.8,470,2.078723404255319,8.0
Bauchi,yam,10.771326086956522,10.61,6431442.1,460,2.1652173913043478,1.0
Bauchi,cassava,9.521258278145696,9.7,4831188.9,453,2.0728476821192054,2.0
Bauchi,rice,2.769522900763359,2.785,1847984.7,524,2.1106870229007635,3.0
Bauchi,oil_palm,3.508050847457627,3.54,1783809.1,472,2.156779661016949,4.0
Bauchi,maize,2.1279801980198023,2.14,1032270.6,505,2.095049504950495,5.0
Bauchi,millet,1.230662525879917,1.25,813888.5,483,2.0848861283643894,6.0
Bauchi,sorghum,1.4025108225108225,1.395,735241.6,462,2.067099567099567,7.0
Bauchi,cocoa,0.3903076923076923,0.38,213945.9,455,2.10989010989011,8.0
Bayelsa,yam,11.867303609341826,11.83,6308164.0,471,2.099787685774947,1.0
Bayelsa,cassava,10.404769585253456,10.45,4571738.0,434,2.0691244239631335,2.0
Bayelsa,oil_palm,3.8677215189873415,3.87,1879268.7,474,2.048523206751055,3.0
Bayelsa,rice,3.086482617586912,3.05,1850921.5,489,2.0593047034764824,4.0
Bayelsa,maize,2.3133474576271187,2.31,1478878.2,472,2.0720338983050848,5.0
Bayelsa,sorghum,1.5433928571428572,1.53,1042601.2,504,2.123015873015873,6.0
Bayelsa,millet,1.3223739495798321,1.3250000000000002,796867.9,476,2.077731092436975,7.0
Bayelsa,cocoa,0.44420353982300886,0.44,255874.69999999998,452,2.0929203539823007,8.0
Benue,yam,11.057408207343412,10.95,6140119.6,463,2.062634989200864,1.0
