N,P,K,temperature,humidity,ph,rainfall,soil_texture,label
672.02,15.47,246.97,28.22,74.2,5.53,174.59,Sandy,yam
951.2,19.02,263.72,27.49,83.81,4.91,293.28,Sandy,oil_palm
981.85,14.55,170.26,26.52,56.04,6.62,87.1,Loamy,maize
607.57,11.06,205.76,31.04,56.71,5.37,214.33,Sandy,cassava
627.14,8.09,174.02,27.5,67.92,6.18,68.31,Loamy,maize
488.05,21.94,230.57,27.64,77.73,5.61,202.46,Loamy,yam
483.41,12.15,218.7,27.94,63.31,5.29,186.7,Loamy,cassava
379.05,9.16,40.58,34.13,46.07,6.14,80.1,Sandy,sorghum
653.39,18.2,246.09,27.42,61.05,5.91,150.41,Loamy,cassava
689.26,19.9,333.29,29.99,89.45,4.95,268.84,Clay,oil_palm
1074.64,24.37,299.6,26.58,82.84,5.26,259.95,Clay,oil_palm
755.27,13.76,119.85,22.64,57.4,5.53,70.32,Loamy,maize
710.91,21.26,142.59,27.86,64.97,6.88,89.87,Loamy,maize
1037.2,11.55,328.54,28.09,82.13,4.44,281.08,Clay,oil_palm
938.15,29.4,122.32,25.79,78.69,7.13,211.23,Clay,rice
1270.52,29.43,65.42,22.66,79.44,5.06,276.43,Loamy,rice
555.8,13.58,279.32,27.5,82.16,6.67,283.06,Loamy,cocoa
976.74,18.8,340.01,25.39,88.2,6.11,258.64,Clay,oil_palm
954.65,25.6,241.97,28.22,85.61,4.62,257.87,Clay,oil_palm
443.49,7.99,183.31,30.14,66.47,5.96,143.12,Clay,cassava
410.31,14.49,157.5,29.13,73.41,5.93,169.47,Sandy,cassava
457.89,9.74,87.98,34.9,40.78,6.97,84.88,Sandy,millet
380.28,5.33,83.11,27.74,34.88,6.51,69.47,Loamy,millet
476.18,7.14,243.36,26.06,73.45,5.64,177.91,Loamy,cassava
646.19,9.65,89.13,24.2,68.63,5.6,84.47,Sandy,maize
1173.82,25.25,108.22,23.06,81.37,6.13,251.8,Clay,rice
408.82,3.48,35.2,28.39,45.8,6.29,43.04,Loamy,millet
671.69,14.72,237.58,23.88,83.71,6.89,290.01,Sandy,cocoa
495.56,15.6,256.16,27.13,56.89,5.79,205.75,Loamy,cassava
701.2,17.19,299.08,25.22,87.39,6.11,291.11,Loamy,cocoa
414.31,9.47,256.76,26.86,66.26,5.75,165.84,Sandy,cassava
1037.97,15.75,204.87,30.98,90.07,5.07,257.53,Loamy,oil_palm
382.94,4.73,75.92,27.82,42.05,6.25,88.1,Sandy,millet
268.09,5.13,83.06,30.08,27.44,5.88,38.89,Sandy,millet
549.36,8.7,244.64,30.11,69.98,5.32,195.39,Clay,cassava
831.76,10.49,226.24,23.13,87.0,6.39,277.44,Loamy,cocoa
682.98,5.87,164.31,25.08,57.03,5.87,189.97,Loamy,cassava
1063.35,19.18,90.08,23.94,58.47,6.7,93.18,Clay,maize
309.34,18.59,267.48,31.63,65.82,5.47,145.32,Loamy,cassava
432.57,10.69,84.53,33.86,31.41,5.79,40.89,Sandy,millet
419.18,15.59,301.43,28.48,61.48,6.48,147.99,Clay,yam
1053.33,19.83,81.08,18.29,71.2,6.21,102.46,Clay,maize
782.73,16.96,225.19,27.77,64.4,6.45,208.35,Loamy,yam
355.68,12.67,193.58,25.38,79.21,6.51,146.16,Loamy,cassava
506.02,4.72,106.2,34.97,39.1,7.52,74.38,Loamy,sorghum
604.76,13.29,179.37,30.4,57.83,6.72,190.59,Loamy,cassava
532.19,5.0,287.62,28.66,71.42,6.22,155.03,Loamy,cassava
819.82,11.85,107.99,26.91,64.69,6.1,99.99,Sandy,maize
1145.59,18.76,123.39,19.88,61.55,6.42,101.49,Loamy,maize
1113.68,18.88,69.37,20.08,79.43,5.29,247.25,Loamy,rice
370.69,3.56,69.68,35.7,51.31,7.6,57.6,Loamy,millet
706.31,19.33,256.61,28.22,62.76,5.94,210.13,Loamy,yam
315.78,9.06,186.28,30.94,79.13,5.0,161.56,Sandy,cassava
1176.89,22.63,61.64,23.48,78.15,5.96,287.28,Loamy,rice
501.07,21.31,296.49,27.41,69.29,5.9,180.41,Loamy,yam
693.61,12.55,158.68,26.45,73.77,5.56,153.59,Sandy,cassava
534.53,7.08,76.53,31.99,39.5,6.47,73.61,Sandy,sorghum
462.71,14.97,215.26,26.37,73.15,6.3,186.64,Sandy,yam
379.09,8.81,52.37,32.19,36.63,5.99,67.41,Sandy,sorghum
616.2,15.31,174.86,31.89,57.65,5.64,155.02,Loamy,cassava
481.6,12.51,194.0,26.23,56.3,5.53,177.14,Loamy,cassava
1162.24,27.47,95.89,26.56,83.42,7.33,218.01,Clay,rice
861.4,14.12,91.81,21.06,83.44,5.08,258.14,Clay,rice
1037.76,12.77,108.2,26.5,66.43,6.87,94.42,Clay,maize
1092.71,13.59,81.91,20.81,82.37,5.84,190.02,Loamy,rice
298.21,7.74,48.23,30.17,44.72,6.76,65.78,Loamy,sorghum
1065.08,9.43,165.65,23.36,65.74,5.73,93.25,Clay,maize
601.37,12.39,264.15,30.03,68.04,6.62,214.25,Sandy,cassava
632.75,9.16,202.59,26.9,83.94,6.68,248.84,Clay,cocoa
619.07,11.65,286.02,26.67,85.13,6.02,242.03,Loamy,cocoa
411.5,9.31,277.21,25.18,70.17,6.48,189.56,Sandy,cassava
793.92,8.61,150.1,20.4,72.54,5.77,94.81,Clay,maize
669.68,17.22,302.44,26.02,63.97,6.16,148.36,Sandy,yam
958.74,18.31,87.06,24.85,63.63,6.14,80.94,Clay,maize
815.08,23.16,161.45,18.56,74.39,6.61,84.82,Loamy,maize
570.73,9.01,222.13,28.06,75.13,5.81,186.48,Loamy,cassava
1091.0,23.13,97.22,20.93,83.68,5.33,266.32,Loamy,rice
653.1,9.73,82.65,27.11,60.68,6.9,85.95,Loamy,maize
285.93,12.91,81.36,28.31,32.02,6.27,80.47,Sandy,sorghum
776.26,18.35,302.63,27.34,86.0,4.75,251.94,Clay,oil_palm
675.21,14.97,241.55,25.06,69.22,6.26,148.83,Loamy,yam
1060.01,19.04,116.15,26.89,78.92,5.05,261.14,Loamy,rice
702.49,23.62,348.6,28.46,85.87,6.12,296.43,Clay,oil_palm
1084.87,16.81,137.34,18.15,63.24,6.16,61.97,Loamy,maize
966.6,20.15,254.19,26.64,81.49,6.2,258.37,Loamy,cocoa
382.82,10.76,107.99,26.93,33.41,6.76,61.23,Loamy,sorghum
491.22,12.02,226.41,28.36,69.7,5.54,189.3,Loamy,yam
951.84,14.94,103.73,25.53,82.51,5.75,298.09,Clay,rice
394.71,13.58,51.01,28.24,35.35,7.55,50.37,Sandy,sorghum
480.44,4.94,67.85,31.61,36.59,5.56,51.59,Sandy,millet
517.46,18.44,261.66,23.45,80.81,6.57,233.45,Clay,cocoa
571.5,20.49,218.08,24.05,83.78,6.53,263.02,Loamy,cocoa
819.73,17.92,95.94,24.46,79.89,5.26,287.08,Loamy,rice
650.84,15.56,276.55,29.63,77.07,6.09,174.59,Loamy,cassava
339.27,8.45,83.74,33.94,53.88,6.16,48.22,Sandy,sorghum
314.64,9.0,55.53,29.54,45.62,5.73,69.82,Sandy,millet
838.7,15.81,294.42,25.97,83.29,5.89,278.42,Loamy,cocoa
488.4,13.63,105.13,31.78,30.63,5.61,87.37,Loamy,sorghum
1220.96,14.55,106.89,23.59,83.49,5.51,249.94,Loamy,rice
666.03,23.53,129.44,24.22,69.82,6.11,108.55,Loamy,maize
723.36,24.29,191.37,26.41,81.6,6.46,286.17,Loamy,cocoa
1177.47,8.52,88.48,19.39,64.25,6.58,86.97,Sandy,maize
305.49,7.54,30.44,31.6,28.13,7.25,67.75,Sandy,millet
973.98,16.54,149.67,28.0,60.16,6.18,98.55,Loamy,maize
978.16,20.13,341.19,31.59,81.13,4.71,264.21,Loamy,oil_palm
443.54,4.07,52.1,34.77,39.02,6.99,69.65,Loamy,millet
446.0,18.0,223.58,29.56,70.94,6.03,167.82,Loamy,yam
364.95,6.17,82.47,30.29,37.71,5.92,85.83,Loamy,sorghum
782.37,17.9,270.34,27.96,72.06,5.86,187.85,Loamy,yam
433.95,5.04,95.23,32.73,48.17,7.7,66.79,Sandy,sorghum
685.61,18.38,191.21,29.99,70.25,5.29,187.62,Loamy,cassava
1000.91,18.14,279.43,30.53,91.14,5.32,283.18,Clay,oil_palm
1109.98,28.01,112.22,23.88,82.63,6.61,282.86,Clay,rice
273.4,4.83,98.8,27.48,45.11,6.25,66.72,Loamy,sorghum
286.69,11.08,85.48,28.16,34.28,5.65,58.26,Sandy,millet
330.55,14.58,83.63,34.32,47.56,7.54,88.6,Sandy,sorghum
1180.35,27.36,125.19,22.91,81.89,7.15,193.32,Clay,rice
864.18,15.54,114.71,22.78,79.22,6.59,213.23,Loamy,rice
482.3,6.94,64.92,30.35,27.26,6.21,48.01,Loamy,millet
1162.55,13.4,111.06,22.79,81.08,6.53,265.23,Loamy,rice
618.47,14.54,211.65,26.17,75.88,6.91,283.61,Clay,cocoa
283.78,9.99,49.08,33.31,39.46,5.66,47.61,Loamy,sorghum
516.33,10.64,103.28,29.83,54.09,7.44,65.75,Sandy,sorghum
459.95,11.84,259.49,26.75,73.18,5.84,198.03,Loamy,yam
504.17,15.17,174.4,31.85,57.28,5.03,168.83,Loamy,cassava
454.5,12.42,260.37,26.88,73.22,6.23,198.05,Loamy,yam
682.37,14.05,184.24,26.43,71.04,6.59,181.44,Loamy,cassava
604.17,19.93,115.09,22.92,59.03,5.54,75.96,Loamy,maize
316.04,8.61,42.29,35.65,39.23,6.87,62.66,Loamy,millet
438.93,11.8,63.55,35.89,43.22,5.59,80.18,Sandy,millet
1285.52,16.54,75.78,25.51,83.56,7.2,181.49,Clay,rice
622.25,9.28,260.81,29.65,61.72,6.04,176.85,Sandy,yam
695.21,6.15,152.63,25.25,71.85,6.48,169.57,Loamy,cassava
705.86,23.34,104.71,22.98,83.33,7.43,216.47,Clay,rice
391.24,13.35,54.01,27.48,51.87,6.03,77.5,Sandy,sorghum
313.12,7.73,33.37,29.68,54.25,7.39,78.76,Loamy,millet
212.93,8.84,75.98,27.2,53.6,7.74,89.54,Sandy,millet
896.3,19.17,276.33,26.84,81.99,5.97,270.05,Loamy,cocoa
610.25,23.34,236.03,26.38,84.2,6.26,270.4,Clay,cocoa
541.62,4.87,82.89,31.2,55.7,5.93,45.01,Loamy,sorghum
743.47,12.87,212.46,27.89,71.43,6.65,209.11,Loamy,yam
407.37,4.11,62.78,28.5,54.5,7.0,45.85,Loamy,millet
504.51,5.72,215.55,30.31,59.71,6.26,212.08,Loamy,cassava
313.21,9.55,66.19,35.85,31.33,6.48,69.58,Sandy,millet
873.46,27.76,286.58,25.49,83.2,4.76,295.54,Loamy,oil_palm
886.39,22.0,211.4,26.31,78.13,6.37,284.73,Clay,cocoa
311.62,6.03,74.54,30.34,48.03,7.42,66.94,Sandy,millet
306.79,3.37,42.55,29.51,48.33,7.52,48.91,Clay,millet
705.6,22.16,258.99,24.42,83.32,5.96,247.66,Clay,cocoa
576.02,13.56,205.37,24.17,83.35,5.89,243.91,Loamy,cocoa
677.93,20.06,230.17,28.9,60.82,6.22,210.11,Loamy,yam
502.18,11.04,150.2,28.06,70.53,5.1,157.41,Sandy,cassava
423.17,7.35,39.1,34.29,38.05,7.14,54.88,Sandy,millet
1049.18,27.37,141.0,24.55,83.1,6.22,269.86,Loamy,rice
413.16,10.17,75.01,30.34,56.3,6.12,65.55,Sandy,sorghum
305.73,10.69,193.33,30.72,68.61,6.59,175.38,Loamy,cassava
425.59,10.37,186.99,29.14,71.79,6.47,151.23,Loamy,cassava
748.07,17.88,139.21,23.18,80.14,5.16,270.48,Sandy,rice
574.71,21.42,295.04,27.57,65.07,6.14,182.51,Loamy,yam
445.84,12.84,168.03,26.55,77.65,6.69,169.8,Loamy,cassava
710.16,20.87,263.05,27.09,62.08,6.52,204.4,Loamy,yam
283.01,8.43,78.33,34.68,40.08,7.62,96.35,Sandy,sorghum
270.4,8.38,75.94,29.01,58.21,7.83,64.24,Loamy,sorghum
848.26,21.34,101.87,23.22,82.87,6.89,264.44,Clay,rice
854.61,14.75,108.6,21.05,78.41,6.94,275.35,Loamy,rice
845.96,17.22,236.04,30.92,82.85,4.33,297.69,Loamy,oil_palm
913.64,15.28,165.84,19.14,60.77,5.63,105.87,Loamy,maize
1066.6,17.78,217.21,25.34,78.05,5.02,272.43,Loamy,oil_palm
653.41,16.72,275.56,31.87,80.13,6.02,283.02,Clay,oil_palm
702.31,9.93,155.78,24.96,72.9,6.31,101.75,Sandy,maize
1089.47,14.48,300.61,31.64,81.47,4.63,260.03,Clay,oil_palm
521.19,8.45,72.54,29.2,38.87,8.08,96.87,Sandy,sorghum
455.19,18.94,153.54,27.47,74.59,5.74,201.82,Sandy,cassava
1292.59,17.6,130.38,20.5,80.3,6.99,251.88,Clay,rice
1069.99,24.14,116.98,23.85,82.52,5.71,279.39,Loamy,rice
505.14,21.85,184.85,25.57,79.16,6.28,253.75,Loamy,cocoa
1290.39,17.18,132.27,21.21,83.59,7.18,285.83,Clay,rice
499.17,11.1,302.95,26.14,69.4,5.65,164.05,Loamy,yam
1132.33,18.97,155.06,22.51,70.39,6.37,72.32,Loamy,maize
1036.84,15.35,228.49,27.69,86.22,5.91,288.32,Clay,oil_palm
214.88,11.75,54.0,31.36,40.86,7.7,44.57,Sandy,millet
761.57,12.18,311.2,25.17,86.87,4.69,287.43,Sandy,oil_palm
738.53,21.71,135.59,24.34,83.89,5.16,234.04,Loamy,rice
410.09,12.88,41.67,31.23,44.26,7.98,53.4,Sandy,sorghum
907.56,22.39,71.49,25.01,81.08,6.44,187.64,Loamy,rice
396.24,6.82,40.82,32.67,44.71,5.59,60.93,Sandy,sorghum
714.99,9.76,264.34,23.41,76.81,5.89,275.46,Loamy,cocoa
721.73,16.82,268.94,25.53,87.72,6.11,292.13,Loamy,oil_palm
699.13,12.74,154.38,31.79,75.96,6.42,186.95,Loamy,cassava
670.21,15.33,309.7,27.83,89.97,6.94,276.41,Clay,cocoa
823.65,20.41,290.08,28.88,87.18,6.16,259.71,Loamy,oil_palm
272.24,9.0,85.76,28.45,33.24,6.3,85.37,Loamy,millet
612.35,14.25,123.9,19.18,55.79,5.73,89.51,Clay,maize
1026.27,24.35,249.43,28.52,82.98,5.2,295.58,Loamy,oil_palm
687.27,17.03,180.89,26.83,83.17,6.72,236.4,Loamy,cocoa
1252.51,22.34,63.91,26.74,84.21,5.14,239.31,Loamy,rice
795.2,10.73,137.55,25.26,66.42,5.67,96.9,Sandy,maize
325.83,14.83,69.05,32.45,51.58,7.37,55.92,Sandy,sorghum
297.56,10.13,54.66,27.54,51.18,7.48,82.25,Loamy,sorghum
902.14,23.35,122.1,22.21,78.65,7.18,236.25,Loamy,rice
1023.39,17.24,341.75,30.98,79.89,4.97,285.13,Clay,oil_palm
371.99,14.4,62.89,32.02,55.64,7.83,72.22,Clay,sorghum
481.42,10.63,75.39,30.5,36.73,7.55,58.66,Loamy,millet
265.15,11.37,53.2,30.99,42.32,7.62,84.16,Sandy,sorghum
651.17,20.24,284.32,27.87,85.88,6.16,291.81,Clay,oil_palm
1116.99,16.32,112.79,21.0,83.72,7.41,262.36,Clay,rice
663.4,12.44,269.11,27.97,79.2,6.0,274.9,Loamy,oil_palm
366.2,11.3,43.13,29.05,52.83,5.74,89.24,Loamy,millet
258.64,5.95,75.37,33.25,46.23,6.83,50.48,Loamy,millet
508.15,21.9,262.78,29.36,75.5,5.58,173.54,Sandy,yam
634.34,13.99,268.82,26.26,68.1,6.11,153.69,Loamy,yam
1033.3,12.62,242.94,30.0,84.3,5.4,265.5,Sandy,oil_palm
670.55,9.43,265.74,29.91,76.94,5.12,185.29,Loamy,cassava
912.55,23.04,209.54,31.45,91.9,4.94,260.26,Clay,oil_palm
351.57,11.56,98.83,26.84,34.75,6.73,82.48,Loamy,sorghum
1086.15,10.96,120.25,22.27,83.05,6.97,216.57,Sandy,rice
421.84,5.18,60.88,31.37,27.66,6.33,54.47,Loamy,millet
762.74,26.76,67.15,21.82,79.32,6.77,283.75,Loamy,rice
440.28,8.08,38.02,27.78,38.39,5.93,67.78,Sandy,millet
640.81,14.85,275.16,27.79,87.43,6.3,296.94,Loamy,cocoa
436.59,19.21,259.5,25.44,67.98,5.52,213.0,Loamy,yam
365.87,6.0,43.86,34.3,40.37,7.23,82.7,Loamy,sorghum
262.18,13.58,62.41,28.22,31.32,7.74,81.52,Sandy,sorghum
312.35,4.25,77.42,26.79,33.14,7.72,60.88,Loamy,sorghum
1145.62,22.07,68.02,20.29,83.52,5.72,282.68,Clay,rice
724.52,16.11,235.68,26.57,89.11,6.01,290.14,Clay,cocoa
808.99,10.95,292.72,29.61,79.59,4.53,296.72,Loamy,oil_palm
638.14,16.37,167.75,23.55,68.37,5.76,63.76,Loamy,maize
1121.48,20.31,95.18,24.37,84.11,6.41,205.52,Loamy,rice
285.26,7.28,49.08,28.73,30.77,7.74,40.76,Sandy,millet
415.36,11.74,293.67,25.5,57.53,5.45,155.6,Loamy,cassava
906.45,21.53,91.71,20.58,58.27,5.83,101.45,Loamy,maize
407.98,8.04,52.52,26.79,42.39,6.22,86.84,Sandy,sorghum
253.73,3.62,54.38,33.97,27.18,6.33,44.0,Sandy,millet
257.03,8.57,92.24,32.73,56.76,6.65,61.41,Sandy,sorghum
677.62,5.07,297.18,25.55,60.07,5.44,142.49,Sandy,cassava
1094.56,11.75,337.31,28.92,84.13,4.66,253.93,Loamy,oil_palm
887.62,16.09,285.35,23.47,83.49,6.07,265.31,Sandy,cocoa
663.66,8.17,305.16,27.38,70.23,6.18,170.39,Loamy,yam
1001.14,20.64,265.41,25.55,86.34,6.01,280.19,Sandy,oil_palm
