farm_id,state,crop,variety,planting_date,area_ha,expected_yield_t_ha,harvest_date,actual_yield_t_ha
FARM-001017,Imo,maize,MAIZE-V2,2023-05-14,6.63,2.74,2023-08-12,3.16
FARM-034310,FCT,yam,YAM-V2,2023-04-07,0.53,11.44,2023-12-21,16.97
FARM-028607,Anambra,yam,YAM-V3,2022-03-05,0.52,10.85,2022-11-14,8.6
FARM-022092,Rivers,soybean,SOYBEAN-V2,2023-07-12,3.44,1.88,2023-10-24,2.77
FARM-027818,Kogi,yam,YAM-V3,2022-04-02,0.51,9.68,2022-12-03,8.87
FARM-041954,Cross River,sorghum,SORGHUM-V3,2024-05-27,0.59,1.27,2024-09-25,0.39
FARM-045408,Plateau,sorghum,SORGHUM-V3,2024-07-22,1.22,1.39,2024-10-31,1.59
FARM-012152,Lagos,cassava,CASSAVA-LOCAL,2023-09-23,0.23,9.69,2024-10-22,5.99
FARM-049828,Kebbi,oil_palm,OIL_PALM-LOCAL,2022-08-02,0.91,2.68,2022-11-29,2.53
FARM-008070,Plateau,cassava,CASSAVA-LOCAL,2024-10-14,1.96,9.78,2026-04-03,10.21
FARM-044085,Delta,cassava,CASSAVA-LOCAL,2023-06-01,1.52,8.81,2024-09-14,10.01
FARM-039769,Sokoto,yam,YAM-V3,2022-02-21,0.75,8.66,2022-11-02,5.0
FARM-009333,Zamfara,oil_palm,OIL_PALM-V2,2024-07-25,1.58,2.77,2024-10-25,2.16
FARM-016451,Imo,cassava,CASSAVA-LOCAL,2024-10-03,0.6,8.53,2026-01-23,10.88
FARM-041348,Oyo,oil_palm,OIL_PALM-V2,2024-10-13,2.16,3.12,2025-01-30,2.79
FARM-033825,Plateau,yam,YAM-V1,2024-04-19,0.63,12.36,2025-02-01,11.54
FARM-036275,Abia,oil_palm,OIL_PALM-V2,2022-03-09,1.87,3.98,2022-06-17,4.18
FARM-041733,FCT,cocoa,COCOA-V2,2022-07-01,2.12,0.36,2023-06-17,0.1
