state,lga,crop,season,area_ha,yield_t_ha,production_t,quality_grade
Rivers,Rivers-LGA-13,yam,2025_wet,306.5,12.41,3802.8,Grade A
Kwara,Kwara-LGA-10,cassava,2022_dry,100.1,10.93,1093.3,Grade A
Taraba,Taraba-LGA-13,sorghum,2023_wet,624.2,0.97,608.0,Grade A
Katsina,Katsina-LGA-02,yam,2023_wet,545.0,6.43,3503.9,Grade A
Enugu,Enugu-LGA-07,rice,2024_wet,2591.8,3.03,7855.6,Grade A
Imo,Imo-LGA-03,oil_palm,2024_dry,165.5,3.04,503.9,Grade A
Borno,Borno-LGA-13,yam,2022_dry,100.0,5.0,500.0,Grade B
Delta,Delta-LGA-09,cassava,2023_dry,777.6,12.3,9564.8,Grade B
FCT,FCT-LGA-02,cassava,2023_wet,100.0,10.35,1034.7,Grade B
Cross River,Cross River-LGA-03,cassava,2022_dry,2253.2,9.22,20778.7,Grade B
Ogun,Ogun-LGA-10,yam,2022_dry,1622.1,9.0,14600.1,Grade A
Kogi,Kogi-LGA-07,cocoa,2022_dry,100.0,0.52,52.0,Grade A
Abia,Abia-LGA-02,cocoa,2022_dry,439.0,0.45,197.1,Grade B
Cross River,Cross River-LGA-07,sorghum,2022_wet,105.3,2.01,211.2,Grade B
Adamawa,Adamawa-LGA-13,rice,2025_wet,681.4,1.88,1280.9,Grade B
Kogi,Kogi-LGA-09,rice,2025_wet,211.8,2.57,544.8,Grade B
Bauchi,Bauchi-LGA-01,millet,2024_wet,156.5,1.54,241.8,Grade B
Abia,Abia-LGA-08,sorghum,2025_wet,100.0,1.82,181.6,Grade B
Taraba,Taraba-LGA-08,rice,2025_wet,1322.5,4.05,5350.0,Grade B
Kaduna,Kaduna-LGA-08,maize,2022_dry,484.7,2.1,1016.6,Grade B
Edo,Edo-LGA-04,millet,2022_dry,100.0,0.98,98.4,Grade A
Kebbi,Kebbi-LGA-02,rice,2024_dry,1530.1,3.21,4917.5,Grade B
Katsina,Katsina-LGA-08,cocoa,2025_wet,524.7,0.33,171.2,Grade C
Ogun,Ogun-LGA-01,millet,2022_dry,505.5,1.03,518.6,Grade A
Oyo,Oyo-LGA-08,yam,2023_wet,944.2,10.82,10212.6,Grade B
Ebonyi,Ebonyi-LGA-11,cassava,2022_wet,196.8,11.81,2323.6,Grade B
Kogi,Kogi-LGA-14,millet,2025_wet,883.2,0.83,730.1,Grade C
Sokoto,Sokoto-LGA-11,yam,2022_dry,419.0,10.43,4370.3,Grade B
Abia,Abia-LGA-07,cassava,2024_dry,1047.1,12.13,12696.7,Grade B
Imo,Imo-LGA-04,yam,2022_wet,1227.8,12.57,15433.5,Grade C
Yobe,Yobe-LGA-14,cassava,2023_wet,101.7,7.67,780.1,Grade B
Sokoto,Sokoto-LGA-04,cocoa,2024_dry,1455.9,0.35,505.2,Grade B
Kebbi,Kebbi-LGA-14,rice,2024_wet,152.2,3.85,586.3,Grade A
Plateau,Plateau-LGA-13,sorghum,2025_wet,6763.1,1.98,13398.1,Grade B
Bauchi,Bauchi-LGA-14,cassava,2022_dry,275.2,11.62,3198.9,Grade A
Bauchi,Bauchi-LGA-07,rice,2023_dry,100.0,2.4,240.1,Grade A
FCT,FCT-LGA-07,sorghum,2025_wet,176.6,0.52,92.3,Grade C
Cross River,Cross River-LGA-12,yam,2022_dry,138.1,12.27,1693.5,Grade C
Ebonyi,Ebonyi-LGA-14,cassava,2024_dry,172.6,12.04,2078.3,Grade A
Benue,Benue-LGA-12,yam,2022_dry,1900.0,15.32,29109.9,Grade C
Kwara,Kwara-LGA-12,maize,2022_dry,265.2,1.71,452.3,Grade A
Rivers,Rivers-LGA-02,yam,2022_dry,100.0,13.74,1373.7,Grade B
Imo,Imo-LGA-10,oil_palm,2023_wet,100.0,3.59,359.0,Grade B
Edo,Edo-LGA-08,oil_palm,2022_wet,353.8,3.47,1225.9,Grade C
Oyo,Oyo-LGA-01,sorghum,2024_wet,100.0,1.18,118.1,Grade B
Oyo,Oyo-LGA-06,millet,2024_wet,246.1,0.68,166.9,Grade B
Bauchi,Bauchi-LGA-08,yam,2024_dry,393.3,10.91,4289.5,Grade A
Yobe,Yobe-LGA-11,yam,2024_dry,1338.0,5.0,6689.9,Grade B
Niger,Niger-LGA-10,millet,2025_wet,100.0,0.48,48.0,Grade B
Lagos,Lagos-LGA-02,oil_palm,2023_wet,100.0,2.82,282.4,Grade B
Rivers,Rivers-LGA-09,maize,2023_dry,600.1,2.11,1267.3,Grade B
Nasarawa,Nasarawa-LGA-14,cocoa,2022_wet,1443.1,0.55,793.1,Grade A
Kogi,Kogi-LGA-04,cassava,2023_wet,919.9,8.12,7468.3,Grade B
Gombe,Gombe-LGA-05,maize,2024_wet,492.6,1.98,974.7,Grade A
Kano,Kano-LGA-11,maize,2024_wet,759.9,1.94,1474.7,Grade A
Borno,Borno-LGA-14,sorghum,2022_wet,353.7,0.87,307.7,Grade A
Sokoto,Sokoto-LGA-14,millet,2024_dry,100.0,1.37,137.1,Grade A
Ogun,Ogun-LGA-12,cassava,2025_wet,1142.2,11.83,13516.8,Grade A
Oyo,Oyo-LGA-06,yam,2024_wet,755.4,13.41,10129.5,Grade B
Benue,Benue-LGA-07,cassava,2024_wet,227.2,10.55,2395.9,Grade C
Akwa Ibom,Akwa Ibom-LGA-07,sorghum,2022_dry,335.1,1.8,604.7,Grade B
Cross River,Cross River-LGA-10,cocoa,2025_wet,194.5,0.55,106.8,Grade C
Ogun,Ogun-LGA-11,oil_palm,2022_dry,171.9,4.32,742.6,Grade B
Ebonyi,Ebonyi-LGA-08,cocoa,2025_wet,201.5,0.38,76.4,Grade B
Zamfara,Zamfara-LGA-12,sorghum,2024_wet,100.0,1.36,135.7,Grade A
Bayelsa,Bayelsa-LGA-01,cocoa,2025_wet,295.9,0.21,62.1,Grade A
Kano,Kano-LGA-12,oil_palm,2023_dry,100.0,1.04,104.4,Grade C
Cross River,Cross River-LGA-08,maize,2023_wet,1291.6,4.44,5732.1,Grade A
Plateau,Plateau-LGA-11,cassava,2024_dry,2209.9,7.04,15552.9,Grade B
Bayelsa,Bayelsa-LGA-08,yam,2022_wet,1893.3,9.5,17991.3,Grade C
Rivers,Rivers-LGA-13,maize,2023_dry,189.4,2.93,555.3,Grade B
Delta,Delta-LGA-10,oil_palm,2022_wet,100.0,4.31,430.6,Grade C
Ogun,Ogun-LGA-01,cassava,2024_dry,265.2,7.39,1961.1,Grade C
FCT,FCT-LGA-07,maize,2022_dry,489.2,1.34,656.7,Grade B
Kano,Kano-LGA-06,cassava,2025_wet,100.0,8.6,859.9,Grade B
Bauchi,Bauchi-LGA-06,oil_palm,2023_dry,721.5,4.11,2968.3,Grade B
Anambra,Anambra-LGA-14,yam,2024_wet,531.5,10.52,5593.9,Grade C
Osun,Osun-LGA-06,cassava,2023_dry,343.0,12.04,4129.1,Grade A
Abia,Abia-LGA-11,oil_palm,2023_wet,2545.7,5.94,15122.5,Grade B
Borno,Borno-LGA-03,sorghum,2023_wet,456.8,1.02,465.0,Grade B
Rivers,Rivers-LGA-14,cassava,2024_wet,356.8,12.55,4479.0,Grade B
Gombe,Gombe-LGA-05,cocoa,2023_wet,100.0,0.29,28.5,Grade B
Lagos,Lagos-LGA-08,maize,2023_dry,371.6,1.52,564.9,Grade B
Abia,Abia-LGA-05,yam,2023_dry,678.6,9.18,6233.2,Grade B
Nasarawa,Nasarawa-LGA-14,maize,2025_wet,5263.7,2.66,14009.3,Grade A
Plateau,Plateau-LGA-10,rice,2024_wet,222.4,3.55,790.3,Grade B
Yobe,Yobe-LGA-04,millet,2022_wet,1932.8,0.79,1528.2,Grade B
Ogun,Ogun-LGA-09,oil_palm,2023_dry,1011.5,3.82,3862.7,Grade C
Osun,Osun-LGA-13,maize,2024_wet,3892.9,2.28,8890.3,Grade B
Ondo,Ondo-LGA-03,yam,2024_wet,100.0,10.42,1042.4,Grade A
Bayelsa,Bayelsa-LGA-01,yam,2023_wet,333.9,10.65,3555.8,Grade C
Sokoto,Sokoto-LGA-08,maize,2022_wet,110.6,1.7,188.3,Grade B
